Account,total_pnl,total_volume,trades,avg_position_size,win_rate
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,56543565.23,14733,3837.885375008484,0.3371343243059798
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,61697263.97,3818,16159.57673389209,0.3596123624934521
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,68036340.24,21192,3210.472831257078,0.46758210645526616
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,420876556.36,12236,34396.58028440667,0.40119320039228507
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,74107810.44,40184,1844.2118863229146,0.428230141349791
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,39572949.25,4356,9084.699093204776,0.48622589531680444
