Account,total_pnl,total_volume,trades,avg_position_size,win_rate
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,4448323.26,534,8330.193370786517,0.32209737827715357
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,5844484.45,1559,3748.8675112251444,0.45221295702373315
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,17193375.42,3589,4790.5754862078575,0.32766787405962666
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,1409902.0,815,1729.9411042944785,0.45521472392638035
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,33873440.42,3809,8893.000897873459,0.3019165135206091
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,10143758.13,4601,2204.6855314062163,0.38274288198217776
